142,543,9
54,142,1
8592,142,1
86,142,1
94,142,1
149,142,1
142,445,1
150,142,2
151,142,2
95,142,1
142,377,1
142,544,1
142,5342,1
17,142,1
11,142,2
12,142,1
16,142,1
142,480,1
142,130,4
142,213,10
142,515,4
369,142,1
142,4795,4
10,142,31
112,142,1
498,142,2
113,142,1
152,142,2
142,2460,1
20,142,2
3718,142,1
142,14,3
142,250,1
39,142,1
142,8109,4
142,205,1
142,100,1
2178,142,1
54,219,2
54,467,2
54,392,1
54,460,2
153,263,2
154,153,1
155,153,1
153,285,1
153,145,1
153,279,1
39,153,1
153,545,1
124,546,1
124,2356,1
124,371,1
124,399,1
94,124,2
124,271,1
124,547,1
124,150,2
156,157,2
45,157,1
157,4982,1
157,282,1
126,157,2
52,65,1
52,3742,1
52,548,2
52,49,1
52,175,2
52,424,1
52,136,2
52,34,3
5,52,2
52,82,1
52,3,3
52,146,5
52,549,2
52,95,4
52,53,1
52,184,2
52,192,1
52,550,2
52,997,1
52,454,2
52,369,1
52,254,1
52,179,2
52,284,2
52,1293,2
39,52,4
52,147,2
52,274,2
52,2508,1
52,123,2
52,1160,1
52,543,2
52,8592,1
52,243,2
52,80,2
52,8109,3
52,103,2
52,500,2
52,81,1
52,551,4
52,33,1
52,0,1
52,811,5
52,2178,3
52,369,1
52,4982,2
52,225,1
52,130,2
52,484,1
52,552,2
158,314,2
158,244,2
158,136,5
55,57,1
55,174,5
55,429,3
55,369,4
55,184,2
119,274,1
159,553,1
159,363,2
159,554,1
69,161,2
160,161,1
161,555,2
162,4908,1
162,195,2
163,324,2
163,327,1
117,130,2
117,48,1
117,405,1
117,238,7
117,324,1
117,556,1
117,306,1
117,136,2
17,458,1
17,95,1
17,8109,3
4253,17,2
17,130,6
17,820,1
17,20,2
17,137,1
17,77,3
17,10,4
17,2178,3
24,17,1
17,23,5
17,517,1
164,498,1
164,9191,1
164,391,1
165,164,1
164,87,1
164,424,1
164,238,2
164,130,1
2623,164,1
164,460,1
164,171,1
166,557,2
74,100,4
74,362,1
167,74,1
74,456,1
74,153,1
1937,74,3
74,146,2
74,220,1
74,201,1
74,84,1
74,402,1
76,74,5
